Primary Sequence Name,Sequence Description,Accession #,Affy Probe ID,Gene Symbol,"Correlation Coefficient to (100,0) Layer 6 High template"
MmugDNA.19192.1.S1_at,gDNA.Hs.58033.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 237421_at Full length insert cDNA clone ZD48A05  REP_ORG=M. mulatta,gDNA.Hs.58033.0,MmugDNA.19192.1.S1_at,,0.580945139
LOC715356,similar to ring finger protein 130,XR_013182,MmugDNA.15695.1.S1_s_at,RNF130,0.580472378
DACH1,dachshund homolog 1 (Drosophila),XM_001082371,MmuSTS.2279.1.S1_at,DACH1,0.579891829
HEY1,hairy/enhancer-of-split related with YRPW motif 1,XM_001090360,MmuSTS.2512.1.S1_at,HEY1,0.579555637
MmugDNA.21108.1.S1_at,gDNA.Hs.243678.0.S1  FEA=U133PSR  GEN=SOX8  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 226913_s_at SRY (sex determining region Y)-box 8  REP_ORG=M. mulatta,gDNA.Hs.243678.0,MmugDNA.21108.1.S1_at,SOX8,0.578962799
TTYH2,tweety homolog 2 (Drosophila),XM_001090041,MmugDNA.6963.1.S1_at,TTYH2,0.578779416
SOX5,SRY (sex determining region Y)-box 5,XM_001100277,MmugDNA.25319.1.S1_at,SOX5,0.57860151
LOC714152,similar to influenza virus NS1A binding protein isoform a,XM_001113539,MmugDNA.38968.1.S1_at,IVNS1ABP,0.578554048
FBLN5,fibulin 5,XM_001091895,MmuSTS.925.1.S1_at,FBLN5,0.57845379
LOC713698,similar to FAT tumor suppressor 2 precursor,XM_001110265,MmuSTS.2639.1.S1_at,FAT2,0.57830355
LOC711959,similar to calcium activated chloride channel 2,XM_001109351,MmuSTS.699.1.S1_at,CLCA2,0.577660739
LOC719083,similar to CG3328-PA,XM_001116663,MmugDNA.42249.1.S1_at,C11orf9,0.577490107
MmugDNA.38779.1.S1_at,gDNA.Hs.285976.2.S1  FEA=U133PSR  GEN=LASS2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 222212_s_at LAG1 longevity assurance homolog 2 (S. cerevisiae)  REP_ORG=M. mulatta,CO646230,MmugDNA.38779.1.S1_at,LASS2,0.577287077
MmuSTS.1858.1.S1_at,"gi:49533109  DEF=CDK6_2114 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA2114, sequence tagged site.  GEN=CDK6  PROD=cyclin-dependent kinase 6  REP_ORG=M. mulatta",49533109,MmuSTS.1858.1.S1_at,CDK6,0.57724557
GCOM1,GRINL1A complex locus,XM_001093273,MmugDNA.13968.1.S1_at,GCOM1,0.57668332
LOC711347,similar to myelin oligodendrocyte glycoprotein isoform beta1 precursor,XM_001103210,MmugDNA.40538.1.S1_at,MOG,0.576057254
GPR62,similar to Probable G-protein coupled receptor 62 (hGPCR8),XR_011540,MmuSTS.2475.1.S1_at,GPR62,0.575826471
CD9,CD9 molecule,XM_001102751,MmuSTS.3583.1.S1_at,CD9,0.575230718
HIPK2,homeodomain interacting protein kinase 2,XM_001106719,MmugDNA.18166.1.S1_at,HIPK2,0.57488975
LOC704120,hypothetical protein LOC704120,XR_011924,MmugDNA.37516.1.S1_at,TM4SF11,0.574680716
LOC718562,similar to nestin,XM_001116693,MmugDNA.11637.1.S1_s_at,NES,0.574607379
SPTBN5,"spectrin, beta, non-erythrocytic 5",XR_012617,MmugDNA.13848.1.S1_at,SPTBN5,0.574085715
HTR2B,5-hydroxytryptamine (serotonin) receptor 2B,XM_001113067,MmuSTS.612.1.S1_at,HTR2B,0.573790257
RRP22,similar to Ras-like protein RRP22 (RAS-related protein on chromosome 22),XM_001105469,MmugDNA.39427.1.S1_at,RRP22,0.573120141
SNTB1,"syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)",XM_001098634,MmugDNA.18506.1.S1_at,SNTB1,0.572973114
LOC705851,similar to p130Cas-associated protein (p140Cap) (SNAP-25-interacting protein) (SNIP),XM_001098842,MmugDNA.16069.1.S1_at,KIAA1217,0.572890436
LOC711347,similar to myelin oligodendrocyte glycoprotein isoform beta1 precursor,XM_001103210,MmugDNA.12021.1.S1_s_at,MOG,0.57225218
LOC708025,"similar to pleckstrin homology domain containing, family G, member 3",XR_012775,MmugDNA.27030.1.S1_at,PLEKHG3,0.5722078
Mmu.6201.1.S1_at,gb:CO645948  DB_XREF=gi:50567442  DB_XREF=ILLUMIGEN_MCQ_37368  CLONE=IBIUW:25544  TID=Mmu.6201.1  CNT=3  FEA=EST  TIER=ConsEnd  STK=0  NOTE=sequence(s) clustered along genome  REP_ORG=M. mulatta,CN643294,Mmu.6201.1.S1_at,,0.571973447
LOC713855,"similar to pleckstrin homology domain containing, family H (with MyTH4 domain) member 1",XR_012887,MmugDNA.617.1.S1_at,PLEKHH1,0.571633112
PTPDC1,protein tyrosine phosphatase domain containing 1,XM_001104435,MmugDNA.22559.1.S1_at,PTPDC1,0.571284305
RASGRP3,RAS guanyl releasing protein 3 (calcium and DAG-regulated),XM_001106737,MmuSTS.3263.1.S1_at,RASGRP3,0.571199759
LOC693306,"similar to family with sequence similarity 46, member A",XM_001082391,MmugDNA.10434.1.S1_at,FAM46A,0.569744118
LOC696097,"similar to reprimo, TP53 dependant G2 arrest mediator candidate",XM_001084737,MmugDNA.43225.1.S1_at,RPRM,0.568439739
AQP8,aquaporin 8,XM_001099227,MmugDNA.10684.1.S1_at,AQP8,0.568167443
LOC712994,similar to secreted modular calcium-binding protein 1 isoform 2,XM_001110348,MmugDNA.13064.1.S1_at,,0.567440273
BCAS1,breast carcinoma amplified sequence 1,XM_001092179,MmugDNA.12110.1.S1_at,BCAS1,0.566837822
LOC706489,similar to Protein tyrosine phosphatase type IVA protein 2 (Protein-tyrosine phosphatase 4a2) (Protein-tyrosine phosphatase of regenerating liver 2) (PRL-2),XM_001100920,MmugDNA.11739.1.S1_s_at,PTP4A2,0.565984686
LOC719694,Similar to metalloprotease 1,CN643070,Mmu.4442.1.S1_s_at,LOC719694,0.565892507
AGPAT4,1-acylglycerol-3-phosphate O-acyltransferase 4,XM_001100131,MmugDNA.16469.1.S1_at,AGPAT4,0.565879135
APLP1,amyloid beta (A4) precursor-like protein 1,XM_001099423,MmugDNA.30528.1.S1_at,APLP1,0.56506086
LOC711713,"similar to collagen, type XXIV, alpha 1",XM_001109194,MmuSTS.1879.1.S1_at,COL24A1,0.564863914
FZD7,frizzled homolog 7 (Drosophila),XM_001100283,MmugDNA.40625.1.S1_at,FZD7,0.564839064
ABCA8,"ATP-binding cassette, sub-family A (ABC1), member 8",XM_001082622,MmuSTS.2655.1.S1_at,ABCA8,0.564247723
LOC700911,similar to Ran-binding protein 10,XM_001089228,MmugDNA.10824.1.S1_at,PRIMA1,0.564082242
GABRE,"gamma-aminobutyric acid (GABA) A receptor, epsilon",XM_001093070,MmuSTS.4814.1.S1_at,GABRE,0.563683049
PTPDC1,protein tyrosine phosphatase domain containing 1,XM_001104435,MmuSTS.1259.1.S1_at,PTPDC1,0.56341455
LOC703557,similar to copine II,XM_001095766,MmuSTS.1231.1.S1_at,CPNE2,0.563084964
LOC710350,similar to myelin basic protein isoform 1,XM_001098960,MmugDNA.21844.1.S1_at,MBP,0.562270463
SLC26A2,"solute carrier family 26 (sulfate transporter), member 2",XM_001098562,MmugDNA.36175.1.S1_at,SLC26A2,0.561826971
8-Sep,septin 8,XM_001104760,MmugDNA.35281.1.S1_s_at,9/8/2010,0.559956084
LOC719694,Similar to metalloprotease 1,CN643070,MmugDNA.9064.1.S1_at,PITRM1,0.559794453
SPTBN1,"spectrin, beta, non-erythrocytic 1",XM_001114701,MmugDNA.23020.1.S1_at,SPTBN1,0.55959168
MmugDNA.11712.1.S1_at,gDNA.g13194196  FEA=U133PSR  GEN=KIF13B  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 202962_at kinesin family member 13B  REP_ORG=M. mulatta,gDNA,MmugDNA.11712.1.S1_at,KIF13B,0.559568005
MAML2,mastermind-like 2 (Drosophila),XM_001093799,MmugDNA.6070.1.S1_at,MAML2,0.559073536
MmugDNA.8695.1.S1_at,"gDNA.Hs.89986.0.A1  FEA=U133PSR  GEN=CORO2A  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 227177_at Coronin, actin binding protein, 2A  REP_ORG=M. mulatta",gDNA.Hs.89986.0,MmugDNA.8695.1.S1_at,CORO2A,0.558297504
MmugDNA.19659.1.S1_at,gDNA.Hs.8817.0.A1  FEA=U133PSR  GEN=IL17RD  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 227997_at Interleukin 17 receptor D  REP_ORG=M. mulatta,gDNA.Hs.8817.0,MmugDNA.19659.1.S1_at,IL17RD,0.557723691
LOC705639,similar to synaptojanin 2,XM_001093995,MmugDNA.25341.1.S1_at,SYNJ2,0.557582617
FGF11,fibroblast growth factor 11,XM_001108934,MmuSTS.1939.1.S1_at,FGF11,0.557542441
LRRC1,leucine rich repeat containing 1,XM_001109225,MmuSTS.1682.1.S1_at,LRRC1,0.557257339
LOC711347,similar to myelin oligodendrocyte glycoprotein isoform beta1 precursor,XM_001102969,MmugDNA.24429.1.S1_at,MOG,0.557064002
LOC696896,"similar to CG9328-PA, isoform A",XM_001088101,MmugDNA.38951.1.S1_at,C10orf45,0.556911457
LOC714104,similar to START domain containing 13 isoform beta,XM_001102135,MmugDNA.22692.1.S1_at,STARD13,0.556796401
MmugDNA.8741.1.S1_at,gDNA.g7662167  FEA=U133PSR  GEN=ST18  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 206135_at suppression of tumorigenicity 18 (breast carcinoma) (zinc finger protein)  REP_ORG=M. mulatta,gDNA,MmugDNA.8741.1.S1_at,ST18,0.55624536
MmugDNA.16507.1.S1_at,gDNA.Hs.87296.0.A1  FEA=U133PSR  GEN=LOC283859  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 229481_at hypothetical protein LOC283859  REP_ORG=M. mulatta,gDNA.Hs.87296.0,MmugDNA.16507.1.S1_at,LOC283859,0.556076978
LOC699320,similar to keratin 1,XM_001097706,MmugDNA.36570.1.S1_at,KRT1,0.555961349
TMEFF2,transmembrane protein with EGF-like and two follistatin-like domains 2,XM_001084859,MmugDNA.20513.1.S1_at,TMEFF2,0.555896802
LOC712977,"similar to endothelial differentiation, sphingolipid G-protein-coupled receptor, 8",XM_001101585,MmugDNA.21269.1.S1_at,EDG8,0.555570328
MmugDNA.20247.1.S1_at,"gDNA.Hs.49265.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 230135_at CDNA FLJ42405 fis, clone ASTRO3000474  REP_ORG=M. mulatta",XP_002345809,MmugDNA.20247.1.S1_at,,0.555426386
LOC699586,similar to tight junction protein 2 (zona occludens 2) isoform 1,XR_011403,MmugDNA.7698.1.S1_at,TJP2,0.555404149
LOC710350,similar to myelin basic protein isoform 1,XM_001098960,MmuSTS.1479.1.S1_at,MBP,0.554805052
PCDH9,protocadherin 9,XM_001087086,MmugDNA.2938.1.S1_at,PCDH9,0.554405553
CRYAB,"crystallin, alpha B",XM_001106498,MmugDNA.43327.1.S1_at,CRYAB,0.554219132
LOC718575,similar to myelin associated glycoprotein isoform a precursor,XM_001111459,MmuSTS.848.1.S1_s_at,MAG,0.554188813
SYNPO2,synaptopodin 2,XM_001098526,MmugDNA.4077.1.S1_at,SYNPO2,0.553942787
HIPK2,homeodomain interacting protein kinase 2,XM_001106719,MmugDNA.18164.1.S1_at,HIPK2,0.553412961
VASH1,vasohibin 1,XM_001100694,MmugDNA.11020.1.S1_at,KIAA1036,0.552878169
LOC703987,similar to Di-Ras2,XM_001099825,MmugDNA.2925.1.S1_at,DIRAS2,0.552754015
LOC716233,similar to ropporin,XM_001106853,MmuSTS.690.1.S1_at,LOC716233,0.552461406
FZD7,frizzled homolog 7 (Drosophila),XM_001100283,MmuSTS.4424.1.S1_at,FZD7,0.551738408
ERBB3,v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian),XM_001113794,MmuSTS.4736.1.S1_at,ERBB3,0.551565223
LOC717983,similar to zinc finger protein 622,XR_013767,MmugDNA.6338.1.S1_at,FLJ20152,0.551196969
GAL3ST1,galactose-3-O-sulfotransferase 1,XM_001110114,MmugDNA.24839.1.S1_at,GAL3ST1,0.550851826
LOC699046,hypothetical protein LOC699046,XM_001087515,MmugDNA.34669.1.S1_at,,0.550650672
MAPRE1,"microtubule-associated protein, RP/EB family, member 1",XM_001106936,MmugDNA.15359.1.S1_at,MAPRE1,0.550349047
RARA,"retinoic acid receptor, alpha",XR_011921,MmugDNA.27380.1.S1_s_at,RARA,0.549588527
TXNIP,thioredoxin interacting protein,XM_001092409,MmugDNA.31897.1.S1_at,TXNIP,0.549277447
LOC700835,"similar to Niemann-Pick disease, type C1",XR_011447,MmugDNA.21803.1.S1_at,NPC1,0.5489035
LOC707318,"similar to ankyrin repeat domain 20 family, member A2",XR_012725,MmugDNA.1854.1.S1_at,ANKRD20A,0.548669276
LOC710476,similar to R13A5.9,XM_001107991,MmugDNA.12543.1.S1_at,FLJ20160,0.548540978
LOC712365,Similar to chondroitin sulfate proteoglycan 2 (versican),AF162478,MmugDNA.24380.1.S1_at,CSPG2,0.548520877
LOC694871,similar to acyl-CoA synthetase long-chain family member 1,XM_001083847,MmuSTS.2952.1.S1_at,ACSL1,0.548495933
OTUD7B,OTU domain containing 7B,XM_001098171,MmugDNA.10674.1.S1_at,OTUD7B,0.547618141
MmugDNA.10297.1.S1_at,gDNA.Hs.90797.0.S1  FEA=U133PSR  GEN=OACT2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 213288_at O-acyltransferase (membrane bound) domain containing 2  REP_ORG=M. mulatta,gDNA.Hs.90797.0,MmugDNA.10297.1.S1_at,OACT2,0.547599081
LAMP2,lysosomal-associated membrane protein 2,XM_001084005,MmugDNA.22544.1.S1_at,LAMP2,0.547586729
DOCK10,dedicator of cytokinesis 10,XR_013749,MmugDNA.28599.1.S1_at,DOCK10,0.547489045
LOC713110,similar to ecotropic viral integration site 2A isoform 2,XM_001112145,MmuSTS.830.1.S1_at,EVI2A,0.547244113
LOC715695,similar to rhomboid-related protein 2,XR_014141,MmuSTS.2100.1.S1_x_at,RHBDL2,0.547174363
CLIC4,chloride intracellular channel 4,XM_001106424,MmugDNA.28843.1.S1_at,,0.545660328
ENOSF1,enolase superfamily member 1,XM_001088491,MmugDNA.32608.1.S1_at,ENOSF1,0.543448451
LOC715695,similar to rhomboid-related protein 2,XR_014141,MmuSTS.2100.1.S1_at,RHBDL2,0.543326478
CTHRC1,collagen triple helix repeat containing 1,XM_001085627,MmugDNA.22170.1.S1_at,CTHRC1,0.543317048
MmugDNA.6386.1.S1_at,"gDNA.Hs.174151.1.A1  FEA=U133PSR  GEN=CARHSP1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 224910_at calcium regulated heat stable protein 1, 24kDa  REP_ORG=M. mulatta",gDNA.Hs.174151.1,MmugDNA.6386.1.S1_at,CARHSP1,0.542268429
LOC710527,similar to cytochrome b5 reductase b5R.2,XM_001099164,MmuSTS.2275.1.S1_s_at,CYB5R2,0.541769723
LOC697505,gDNA.Hs.133066.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 239657_x_at  REP_ORG=M. mulatta,gDNA.Hs.133066.0,MmugDNA.40966.1.S1_at,,0.541432813
LOC709771,"similar to monooxygenase, DBH-like 1 isoform 1",XM_001103135,MmugDNA.27497.1.S1_at,MOXD1,0.541396472
LOC713110,Similar to ecotropic viral integration site 2A isoform 2,CN645511,Mmu.6272.2.S1_at,EVI2A,0.541070917
MmugDNA.36081.1.S1_s_at,gDNA.Hs.182562.1.A1  FEA=U133PSR  GEN=EVER1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 242364_x_at Epidermodysplasia verruciformis 1  REP_ORG=M. mulatta,gDNA.Hs.182562.1,MmugDNA.36081.1.S1_s_at,EVER1,0.540258198
CA12,carbonic anhydrase XII,XM_001105156,MmuSTS.2176.1.S1_at,CA12,0.537954648
ANP32B,"gDNA.Hs.84264.0.A1  FEA=U133PSR  GEN=ANP32B  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 201305_x_at acidic (leucine-rich) nuclear phosphoprotein 32 family, member B  REP_ORG=M. mulatta",NP_006392,MmugDNA.25179.1.S1_s_at,ANP32B,0.537811009
LOC706287,similar to C-Myc-binding protein (Associate of Myc 1) (AMY-1),XR_012795,MmuSTS.2607.1.S1_at,ZFHX2,0.537357096
HSPA2,heat shock protein 2,AY369825,MmuSTS.605.1.S1_at,HSPA2,0.53714758
GARNL3,GTPase activating Rap/RanGAP domain-like 3,XM_001096254,MmugDNA.42775.1.S1_at,GARNL3,0.536152715
LOC714399,similar to CD38 antigen,XM_001099851,MmuSTS.1849.1.S1_at,CD38,0.536102457
TRAK2,"trafficking protein, kinesin binding 2",XM_001098295,MmugDNA.24148.1.S1_at,TRAK2,0.535791013
MmugDNA.658.1.S1_at,gDNA.Hs.102657.0.S1  FEA=U133PSR  GEN=KIAA1155  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 221868_at KIAA1155 protein  REP_ORG=M. mulatta,DR766868,MmugDNA.658.1.S1_at,KIAA1155,0.535084286
MmugDNA.8019.1.S1_at,gDNA.Hs.104476.0.A1  FEA=U133PSR  GEN=MGC17299  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 225822_at hypothetical protein MGC17299  REP_ORG=M. mulatta,gDNA.Hs.104476.0,MmugDNA.8019.1.S1_at,MGC17299,0.532936447
MmugDNA.28212.1.S1_at,gDNA.Hs.48713.0.A1  FEA=U133PSR  GEN=DCAMKL1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 229800_at Doublecortin and CaM kinase-like 1  REP_ORG=M. mulatta,gDNA.Hs.48713.0,MmugDNA.28212.1.S1_at,DCAMKL1,0.532145036
BOK,BCL2-related ovarian killer,XM_001093221,MmugDNA.27900.1.S1_at,BOK,0.531837392
LOC710742,similar to ataxin 2,XR_013602,MmugDNA.20357.1.S1_at,IL1R1,0.531492308
LOC718264,similar to progestin and adipoQ receptor family member VI isoform 2,XM_001116489,MmuSTS.1096.1.S1_at,PAQR6,0.531238055
LOC705670,hypothetical protein LOC705670,XR_011550,MmugDNA.24457.1.S1_at,ZFHX1B,0.531089395
LOC710783,"similar to opioid receptor, kappa 1",XR_012897,MmuSTS.1046.1.S1_at,OPRK1,0.531064867
LOC700954,similar to TEA domain family member 1,XM_001095746,MmugDNA.14193.1.S1_at,TEAD1,0.530962947
LOC701555,similar to spermatid-specific linker histone H1-like protein,XR_011753,MmugDNA.25061.1.S1_at,HILS1,0.530368172
KCNK1,"potassium channel, subfamily K, member 1",XM_001112053,MmuSTS.1406.1.S1_at,KCNK1,0.530203425
EMILIN2,elastin microfibril interfacer 2,XM_001086149,MmuSTS.3608.1.S1_at,EMILIN2,0.530076985
RNF145,ring finger protein 145,XM_001082926,MmugDNA.32201.1.S1_at,SLC14A1,0.529607027
LOC717360,similar to calcium-activated potassium channel beta 4 subunit,XR_013607,MmuSTS.1411.1.S1_at,KCNMB4,0.52957552
GPR155,G protein-coupled receptor 155,XM_001089835,MmugDNA.16907.1.S1_at,GPR155,0.529510853
ATG4C,ATG4 autophagy related 4 homolog C (S. cerevisiae),XM_001086705,MmugDNA.27148.1.S1_at,ATG4C,0.529502328
KLK6,kallikrein-related peptidase 6,XM_001114451,MmugDNA.22287.1.S1_at,KLK6,0.529275784
GSTM3,glutathione S-transferase mu 3 (brain),XM_001096283,MmugDNA.40518.1.S1_at,GSTM3,0.529074198
SSTR2,somatostatin receptor 2,XM_001085574,MmugDNA.9719.1.S1_at,SSTR2,0.528681961
LOC711743,similar to LPS-induced TNF-alpha factor,XM_001105141,MmugDNA.31242.1.S1_at,LITAF,0.528483773
LOC695143,"similar to RAB26, member RAS oncogene family",XR_009973,MmuSTS.3743.1.S1_at,RAB26,0.52793034
MmugDNA.21895.1.S1_at,"gDNA.g4557846  FEA=U133PSR  GEN=SGCG  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 207302_at sarcoglycan, gamma (35kDa dystrophin-associated glycoprotein)  REP_ORG=M. mulatta",gDNA,MmugDNA.21895.1.S1_at,SGCG,0.52780174
LOC700496,similar to tight junction protein 4 (peripheral),XR_011738,MmuSTS.2547.1.S1_at,TJP4,0.527410593
LOC714152,similar to influenza virus NS1A binding protein isoform a,XM_001113539,MmugDNA.20769.1.S1_at,IVNS1ABP,0.527117308
LOC708722,similar to rhotekin isoform a,XM_001108982,MmugDNA.32724.1.S1_at,RTKN,0.527018369
LOC712256,similar to hyperparathyroidism 2 homolog,XM_001112520,MmuSTS.269.1.S1_at,HRPT2,0.52672487
MmugDNA.12127.1.S1_at,gDNA.Hs.24886.0.A1  FEA=U133PSR  GEN=PCDH9  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 238919_at Protocadherin 9  REP_ORG=M. mulatta,gDNA.Hs.24886.0,MmugDNA.12127.1.S1_at,PCDH9,0.526704348
LOC704829,similar to tripartite motif-containing 59,XM_001093190,MmugDNA.14076.1.S1_s_at,TRIM59,0.526023335
LOC704762,hypothetical protein LOC704762,XR_012432,MmugDNA.6371.1.S1_at,BBX,0.525890542
NINJ2,ninjurin 2,XM_001095186,MmugDNA.17547.1.S1_at,NINJ2,0.525266279
HHIP,hedgehog interacting protein,XM_001093950,MmuSTS.13.1.S1_at,HHIP,0.525040035
LOC720503,similar to Myc box-dependent-interacting protein 1 (Bridging integrator 1) (Amphiphysin-like protein) (Amphiphysin II) (Box-dependent myc-interacting protein 1),XM_001116003,MmuSTS.3820.1.S1_at,BIN1,0.524941268
CARHSP1,"calcium regulated heat stable protein 1, 24kDa",XM_001102694,MmuSTS.2667.1.S1_at,CARHSP1,0.524910778
TNFAIP6,"tumor necrosis factor, alpha-induced protein 6",XM_001083111,MmugDNA.1672.1.S1_at,TNFAIP6,0.524498914
MmugDNA.13816.1.S1_at,gDNA.Hs.99472.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 227995_at MRNA; cDNA DKFZp564O0862 (from clone DKFZp564O0862)  REP_ORG=M. mulatta,gDNA.Hs.99472.0,MmugDNA.13816.1.S1_at,,0.524404007
BCAM,similar to melanoma cell adhesion molecule,XM_001096935,MmugDNA.39419.1.S1_s_at,BCAM,0.524044617
ENPP2,ectonucleotide pyrophosphatase/phosphodiesterase 2,XM_001093656,MmugDNA.24308.1.S1_at,ENPP2,0.523986687
KLF16,similar to insulinoma-associated 1,XM_001091915,MmuSTS.2760.1.S1_at,KLF16,0.523852195
TRIM36,tripartite motif-containing 36,XM_001083527,MmuSTS.4422.1.S1_at,TRIM36,0.523560352
LOC716694,similar to HGFL protein,XM_001110797,MmugDNA.27599.1.S1_at,TRIM59,0.523103191
HOXD1,homeobox D1,XM_001095080,MmuSTS.595.1.S1_at,HOXD1,0.523076086
LOC693560,"gDNA.Hs.100469.2.S1  FEA=U133PSR  GEN=MLLT4  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 224685_at myeloid lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4  REP_ORG=M. mulatta",gDNA.Hs.100469.2,MmugDNA.17961.1.S1_at,MLLT4,0.523022358
LOC706142,similar to peroxiredoxin 1,XM_001102834,Mmu.7028.1.S1_at,,0.522838963
ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",XM_001095246,MmugDNA.26441.1.S1_at,ITGA2,0.522711168
UGT8,UDP glycosyltransferase 8,XM_001097011,MmugDNA.41888.1.S1_at,UGT8,0.522259448
C9H10orf90,similar to Alstrom syndrome 1,XM_001088646,MmugDNA.29754.1.S1_at,C9H10orf90,0.521917919
LOC698576,similar to plakophilin 4 isoform a,XM_001091710,MmugDNA.5933.1.S1_at,PKP4,0.521326946
TP53INP2,tumor protein p53 inducible nuclear protein 2,XM_001103915,MmugDNA.5347.1.S1_at,TP53INP2,0.521072705
MmugDNA.11141.1.S1_at,"gDNA.Hs.182562.0.A1  FEA=U133PSR  GEN=EVER1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 239062_at Epidermodysplasia verruciformis 1     CDNA clone IMAGE:5286005, partial cds  REP_ORG=M. mulatta",gDNA.Hs.182562.0,MmugDNA.11141.1.S1_at,EVER1,0.520422641
LOC717360,similar to calcium-activated potassium channel beta 4 subunit,XR_013607,MmugDNA.27782.1.S1_at,KCNMB4,0.519892731
LOC716934,similar to Rho GTPase activating protein 8 (predicted),XM_001114861,MmugDNA.32015.1.S1_at,FLJ14213,0.519828989
BACE1,beta-site APP-cleaving enzyme 1,XM_001093566,MmugDNA.13727.1.S1_at,BACE1,0.519624658
SEPP1,selenoprotein P,NM_001159490,MmugDNA.33316.1.S1_at,SEPP1,0.518174514
LOC710956,similar to Rho GTPase activating protein 2,XM_001108338,MmugDNA.36556.1.S1_at,ARHGAP22,0.517684192
HIPK2,homeodomain interacting protein kinase 2,XM_001106719,MmugDNA.31361.1.S1_at,HIPK2,0.517261866
LOC697494,Similar to receptor expression enhancing protein 3,CN641666,Mmu.6310.1.S1_at,,0.516889871
TMEM123,transmembrane protein 123,XM_001097301,MmugDNA.34184.1.S1_at,TMEM123,0.516845165
LOC711989,similar to bone morphogenetic protein 5 preproprotein,XM_001109705,MmugDNA.17763.1.S1_at,BMP5,0.516105592
LOC711359,similar to dedicator of cytokinesis 5,XM_001107224,MmugDNA.14574.1.S1_at,DOCK5,0.516102926
Mmu.9589.1.S1_at,gb:CN803370  DB_XREF=gi:47699346  DB_XREF=ILLUMIGEN_MCQ_32867  CLONE=IBIUW:13015  TID=Mmu.9589.1  CNT=2  FEA=EST  TIER=ConsEnd  STK=2  NOTE=sequence(s) clustered along genome  REP_ORG=M. mulatta,CN646093,Mmu.9589.1.S1_at,,0.51606822
LOC706336,"similar to pleckstrin homology-like domain, family B, member 1",XR_011558,MmuSTS.453.1.S1_at,PHLDB1,0.516057698
PARVA,similar to Alpha-parvin (Calponin-like integrin-linked kinase-binding protein) (CH-ILKBP),XM_001091788,MmugDNA.24746.1.S1_at,PARVA,0.515971516
VAV2,vav 2 guanine nucleotide exchange factor,XM_001099316,MmunewRS.81.1.S1_at,,0.515121089
REEP3,receptor accessory protein 3,XM_001090016,MmugDNA.155.1.S1_at,REEP3,0.51511265
MmugDNA.41193.1.S1_at,"gDNA.Hs.127958.0.A1  FEA=U133PSR  GEN=AGPAT4  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 228667_at 1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)  REP_ORG=M. mulatta",gDNA.Hs.127958.0,MmugDNA.41193.1.S1_at,AGPAT4,0.514031641
MmugDNA.19118.1.S1_at,"gDNA.Hs.173030.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 225710_at CDNA FLJ34013 fis, clone FCBBF2002111  REP_ORG=M. mulatta",gDNA.Hs.173030.0,MmugDNA.19118.1.S1_at,,0.513551374
