Primary Sequence Name,Sequence Description,Accession Number,Affy Probe ID,Gene Symbol,Correlation Coefficient to Layer 2 High template
IL1RAPL1,interleukin 1 receptor accessory protein-like 1,XM_001094959,MmugDNA.16833.1.S1_at,IL1RAPL1,0.673173453
LOC706473,gDNA.Hs.48650.0.A1  FEA=U133PSR  GEN=MGC16186  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 239733_at hypothetical protein MGC16186  REP_ORG=M. mulatta,NP_115748,MmugDNA.23126.1.S1_at,MGC16186,0.672961892
LOC721218,similar to apolipoprotein A-I binding protein,XM_001117298,MmugDNA.30266.1.S1_at,FLJ44968,0.670531834
MmugDNA.38298.1.S1_at,gDNA.Hs.202949.0.S3  FEA=U133PSR  GEN=KIAA1102  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 212327_at KIAA1102 protein  REP_ORG=M. mulatta,gDNA.Hs.202949.0,MmugDNA.38298.1.S1_at,KIAA1102,0.670009222
LOC717025,similar to TPR repeat-containing protein KIAA1043,XM_001108189,MmugDNA.3847.1.S1_at,KIAA1043,0.669976254
SLIT2,slit homolog 2,XR_012895,MmugDNA.31327.1.S1_at,SLIT2,0.669774715
LOC696761,similar to KIAA0922 protein,XM_001087350,MmugDNA.9294.1.S1_at,KIAA0922,0.669145872
LOC705843,"cytochrome P450, family 46",XM_001103543,MmugDNA.14206.1.S1_at,CYP46A1,0.668870414
LOC706919,"similar to MOB1, Mps One Binder kinase activator-like 2B",XM_001104813,MmugDNA.16182.1.S1_at,MOBKL2B,0.6668751
CYGB,cytoglobin,XM_001104888,MmugDNA.17735.1.S1_at,CYGB,0.666669318
LIPC,"lipase, hepatic",XM_001095362,MmugDNA.21120.1.S1_at,LIPC,0.666138462
MmugDNA.38297.1.S1_at,gDNA.Hs.202949.0.S2  FEA=U133PSR  GEN=KIAA1102  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 212328_at KIAA1102 protein  REP_ORG=M. mulatta,gDNA.Hs.202949.0,MmugDNA.38297.1.S1_at,KIAA1102,0.664734466
FAM84A,"family with sequence similarity 84, member A",XM_001090187,MmugDNA.26517.1.S1_at,FAM84A,0.662382485
MmugDNA.42085.1.S1_at,"gDNA.Hs.6187.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 229029_at Transcribed locus, weakly similar to XP_499236.1 LOC442377 [Homo sapiens]  REP_ORG=M. mulatta",gDNA.Hs.6187.0,MmugDNA.42085.1.S1_at,,0.661408875
LOC713904,similar to Transcription factor E2F3 (E2F-3),XM_001103396,MmugDNA.12573.1.S1_at,E2F3,0.660289618
RND3,Rho family GTPase 3,XM_001082741,MmuSTS.1367.1.S1_at,ARHE,0.659754397
LOC697898,similar to CTD small phosphatase-like protein,XM_001086442,MmugDNA.26984.1.S1_at,CTDSPL,0.658382682
MmugDNA.30390.1.S1_at,gDNA.Hs.56400.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 236714_at Similar to Dedicator of cytokinesis protein 9 (Cdc42 guanine nucleotide exchange factor zizimin 1)  REP_ORG=M. mulatta,gDNA.Hs.56400.0,MmugDNA.30390.1.S1_at,,0.658348262
LOC712674,similar to phosphodiesterase 8B isoform 1,XM_001101740,MmugDNA.40553.1.S1_at,PDE8B,0.656510156
LOC709465,similar to prospero-related homeobox 1,XM_001106666,MmugDNA.22007.1.S1_at,,0.656260569
LOC709145,similar to early growth response 3,XM_001104840,MmuSTS.2603.1.S1_at,EGR3,0.656199876
LOC713559,similar to transmembrane 4 superfamily member 10,XR_013002,MmugDNA.21746.1.S1_at,TM4SF10,0.655749636
ZNF831,zinc finger protein 831,XM_001083661,MmugDNA.25941.1.S1_at,ZNF831,0.655362375
ADAMTS5,"ADAM metallopeptidase with thrombospondin type 1 motif, 5",XM_001103439,MmugDNA.30736.1.S1_at,ADAMTS5,0.655176839
LOC705358,similar to PDZ and LIM domain 5 isoform a,XM_001102789,MmugDNA.12473.1.S1_at,PDLIM5,0.654479167
KCNJ6,"potassium inwardly-rectifying channel, subfamily J, member 6",XM_001083031,MmuSTS.1404.1.S1_at,KCNJ6,0.654318063
MmugDNA.32921.1.S1_at,gDNA.Hs.158258.0.S1  FEA=U133PSR  GEN=GPR133  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 232267_at G protein-coupled receptor 133  REP_ORG=M. mulatta,gDNA.Hs.158258.0,MmugDNA.32921.1.S1_at,GPR133,0.653589337
LOC712787,similar to PTK2B protein tyrosine kinase 2 beta isoform a,XM_001109177,MmuSTS.1258.1.S1_at,PTK2B,0.653401973
LOC716868,similar to transcription elongation regulator 1-like,XM_001107858,MmugDNA.21026.1.S1_at,TCERG1L,0.653371183
LOC696337,similar to UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13,XR_010118,MmugDNA.29483.1.S1_at,GALNT13,0.653327895
LOC719527,similar to transgelin 2,XM_001117321,MmugDNA.4313.1.S1_at,TAGLN2,0.653303482
MmugDNA.14288.1.S1_at,gDNA.Hs.289088.1.A1  FEA=U133PSR  GEN=KCTD1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 226246_at potassium channel tetramerisation domain containing 1  REP_ORG=M. mulatta,CN642652,MmugDNA.14288.1.S1_at,KCTD1,0.652531178
LOC702606,similar to ribosomal protein S13,XM_001097099,MmugDNA.25633.1.S1_at,,0.650009581
IMMP2L,IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae),XM_001098611,MmugDNA.6944.1.S1_at,IMMP2L,0.648759048
SESN1,sestrin 1,XM_001092578,MmugDNA.18391.1.S1_at,SESN1,0.648613513
MmugDNA.16780.1.S1_at,gDNA.Hs.92602.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 236105_at Transcribed locus  REP_ORG=M. mulatta,gDNA.Hs.92602.0,MmugDNA.16780.1.S1_at,,0.648507207
PAM,peptidylglycine alpha-amidating monooxygenase,XM_001096156,MmugDNA.776.1.S1_at,PAM,0.648082703
LOC714755,"similar to serine protease inhibitor, Kunitz type, 2",XM_001106508,MmugDNA.26693.1.S1_at,,0.647850823
LOC709465,similar to prospero-related homeobox 1,XM_001106666,MmugDNA.13543.1.S1_at,,0.647120043
MmugDNA.28907.1.S1_at,gDNA.Hs.78281.0.S2  FEA=U133PSR  GEN=RGS12  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 205823_at regulator of G-protein signalling 12  REP_ORG=M. mulatta,gDNA.Hs.78281.0,MmugDNA.28907.1.S1_at,RGS12,0.646929139
MmugDNA.16104.1.S1_at,gDNA.Hs.119944.0.A1  FEA=U133PSR  GEN=MGC42367  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 228067_at similar to 2010300C02Rik protein  REP_ORG=M. mulatta,gDNA.Hs.119944.0,MmugDNA.16104.1.S1_at,MGC42367,0.646869883
LOC718169,similar to neuronal calcium-binding protein 2,XM_001110489,MmugDNA.38332.1.S1_at,EFCBP2,0.646744038
LOC695453,hypothetical protein LOC695453,XM_001087141,MmugDNA.23825.1.S1_at,LOC92482,0.646642092
LOC718418,similar to phospholipase C beta 4 isoform a,XR_014465,MmuSTS.2059.1.S1_at,PLCB4,0.646492683
LOC709819,similar to LOC90806 protein,XR_013372,MmugDNA.32776.1.S1_at,LOC90806,0.646484005
MmugDNA.4062.1.S1_at,gDNA.Hs2.117183.1.S1  FEA=U133PSR  GEN=LOC200169  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 1555867_at hypothetical protein LOC200169  REP_ORG=M. mulatta,gDNA.Hs2.117183.1,MmugDNA.4062.1.S1_at,LOC200169,0.645429964
NR2E1,"nuclear receptor subfamily 2, group E, member 1",XM_001094659,MmuSTS.3022.1.S1_at,NR2E1,0.64425981
NXPH1,neurexophilin 1,XM_001085129,MmuSTS.4651.1.S1_at,NXPH1,0.644252582
RCAN1,regulator of calcineurin 1,XM_001087941,MmuSTS.3559.1.S1_at,RCAN1,0.644035223
LOC694884,similar to coiled-coil domain containing 3,XM_001085273,MmugDNA.42742.1.S1_at,CCDC3,0.643390471
LOC719139,hypothetical protein LOC719139,XM_001112846,MmugDNA.31865.1.S1_at,LOC222967,0.643124428
MmugDNA.38732.1.S1_at,"gDNA.Hs.272208.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 233095_at CDNA FLJ10095 fis, clone HEMBA1002430  REP_ORG=M. mulatta",gDNA.Hs.272208.0,MmugDNA.38732.1.S1_at,,0.643085709
LOC701635,similar to tudor domain containing 9,XM_001089930,MmuSTS.380.1.S1_at,TDRD9,0.642821635
LOC708921,similar to zinc finger CCCH type containing 12A,XM_001104883,MmugDNA.38159.1.S1_at,,0.642702348
MmugDNA.40144.1.S1_at,"gDNA.g5454133  FEA=U133PSR  GEN=TNFAIP2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 202510_s_at tumor necrosis factor, alpha-induced protein 2  REP_ORG=M. mulatta",gDNA,MmugDNA.40144.1.S1_at,TNFAIP2,0.642566619
MmugDNA.17804.1.S1_at,"gDNA.Hs.90242.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 238747_at Homo sapiens, clone IMAGE:4796172, mRNA  REP_ORG=M. mulatta",gDNA.Hs.90242.0,MmugDNA.17804.1.S1_at,,0.642000783
LOC710112,"similar to B-cell translocation gene 1, anti-proliferative",XM_001104420,MmuSTS.1956.1.S1_at,BTG1,0.641939641
CDH18,"cadherin 18, type 2",XM_001088197,MmuSTS.3394.1.S1_at,CDH18,0.640347049
MmugDNA.37780.1.S1_at,"gDNA.Hs.8736.0.S1  FEA=U133PSR  GEN=MAN1C1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 214180_at Mannosidase, alpha, class 1C, member 1  REP_ORG=M. mulatta",gDNA.Hs.8736.0,MmugDNA.37780.1.S1_at,MAN1C1,0.639999156
LOC713873,similar to zinc finger protein 189 isoform 1,XM_001111135,MmugDNA.18216.1.S1_at,ZNF189,0.639524458
MmuSTS.2537.1.S1_at,"gi:49533293  DEF=IGFBP3_1859 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA1859, sequence tagged site.  GEN=IGFBP3  PROD=insulin-like growth factor binding protein 3  REP_ORG=M. mulatta",CK230365,MmuSTS.2537.1.S1_at,IGFBP3,0.63911956
TMEM47,transmembrane protein 47,XM_001082045,MmugDNA.42682.1.S1_at,TMEM47,0.638139581
MmugDNA.34336.1.S1_at,gDNA.Hs.135108.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 230354_at Transcribed locus  REP_ORG=M. mulatta,gDNA.Hs.135108.0,MmugDNA.34336.1.S1_at,,0.63700677
ITGA9,"integrin, alpha 9",XM_001086555,MmugDNA.18290.1.S1_at,ITGA9,0.635947624
CALB1,calbindin 1,XM_001085269,MmugDNA.41067.1.S1_at,CALB1,0.635580821
LOC714321,similar to ras inhibitor RIN1,XM_001110464,MmuSTS.1734.1.S1_at,RIN1,0.635420572
LOC715977,similar to coactivator-associated arginine methyltransferase 1,XR_013318,MmugDNA.26913.1.S1_at,NSE1,0.63518308
EGR2,early growth response 2,XM_001092715,MmunewRS.383.1.S1_at,DKFZp686J1957,0.634899827
CAMK4,calcium/calmodulin-dependent protein kinase IV,XM_001101268,MmuSTS.2178.1.S1_at,CAMK4,0.634895525
LOC693944,similar to 5T4 oncofetal trophoblast glycoprotein,XM_001082914,MmugDNA.14009.1.S1_s_at,TPBG,0.634767009
LOC695769,similar to carbonyl reductase 3,XM_001084893,MmugDNA.24597.1.S1_at,CBR3,0.634603212
LOC714737,similar to pleckstrin and Sec7 domain containing,XM_001104642,MmugDNA.22298.1.S1_at,PSD,0.634291053
MmuSTS.3201.1.S1_at,"gi:47776412  DEF=BCL2_50 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA50, sequence tagged site.  GEN=BCL2  PROD=B-cell CLL lymphoma 2  REP_ORG=M. mulatta",47776412,MmuSTS.3201.1.S1_at,BCL2,0.633432297
NPTX2,neuronal pentraxin II,XM_001111081,MmugDNA.41632.1.S1_at,NPTX2,0.633316613
MmugDNA.36026.1.S1_at,gDNA.Hs.106330.0.S1  FEA=U133PSR  GEN=HS6ST3  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 229714_at heparan sulfate 6-O-sulfotransferase 3  REP_ORG=M. mulatta,gDNA.Hs.106330.0,MmugDNA.36026.1.S1_at,HS6ST3,0.632481067
PRKX,"protein kinase, X-linked",XM_001086667,MmuSTS.3704.1.S1_at,LOC441733,0.631863655
LOC714042,similar to klotho isoform a,XM_001101127,MmuSTS.1603.1.S1_at,KL,0.631041297
LOC707432,similar to PDZ domain protein GIPC2,XM_001104248,MmuSTS.1462.1.S1_at,GIPC2,0.630995461
MmugDNA.42668.1.S1_at,gDNA.Hs.155644.0.S2  FEA=U133PSR  GEN=PAX2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 206228_at paired box gene 2  REP_ORG=M. mulatta,XP_946637,MmugDNA.42668.1.S1_at,PAX2,0.630720077
MmugDNA.10294.1.S1_at,gDNA.Hs.125843.0.A1  FEA=U133PSR  GEN=FLJ46675  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 239499_at FLJ46675 protein  REP_ORG=M. mulatta,NP_065928,MmugDNA.10294.1.S1_at,FLJ46675,0.630618415
LOC694611,hypothetical protein LOC694611,XM_001085846,MmugDNA.33984.1.S1_at,,0.629652373
LOC719569,"gDNA.g13097710  FEA=U133PSR  GEN=AP1S1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 209635_at adaptor-related protein complex 1, sigma 1 subunit  REP_ORG=M. mulatta",gDNA,MmugDNA.10675.1.S1_at,AP1S1,0.629133353
MmugDNA.28814.1.S1_at,gDNA.Hs.79069.0.S2  FEA=U133PSR  GEN=CCNG2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 202769_at Cyclin G2  REP_ORG=M. mulatta,gDNA.Hs.79069.0,MmugDNA.28814.1.S1_at,CCNG2,0.628633114
KCTD4,potassium channel tetramerisation domain containing 4,XM_001094754,MmugDNA.40943.1.S1_at,KCTD4,0.626770363
LOC698717,similar to gonadotropin-regulated long chain acyl-CoA synthetase,XM_001087092,MmugDNA.33341.1.S1_at,BGR,0.626381404
KCTD4,potassium channel tetramerisation domain containing 4,XM_001094754,MmugDNA.16713.1.S1_at,KCTD4,0.626029386
GUCY1A3,"guanylate cyclase 1, soluble, alpha 3",XR_011265,MmugDNA.23256.1.S1_at,GUCY1A3,0.625869072
BAHD1,bromo adjacent homology domain containing 1,XM_001096466,MmuSTS.2146.1.S1_at,BAHD1,0.625825438
GPR64,G protein-coupled receptor 64,XM_001084693,MmugDNA.31456.1.S1_at,GPR64,0.625793485
PAM,peptidylglycine alpha-amidating monooxygenase,XM_001096156,MmugDNA.776.1.S1_s_at,PAM,0.625673129
LOC699762,similar to Pancreatic lipase-related protein 1 precursor,XR_011472,MmugDNA.34925.1.S1_at,SPARC,0.625276004
CUGBP1,"CUG triplet repeat, RNA binding protein 1",XM_001106106,MmugDNA.13636.1.S1_at,CUGBP1,0.624523689
ANKRD28,ankyrin repeat domain 28,XM_001083386,MmugDNA.29893.1.S1_at,ANKRD28,0.624387911
MmugDNA.28782.1.S1_at,gDNA.Hs.100691.0.A1  FEA=U133PSR  GEN=LOC286052  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 241370_at hypothetical protein LOC286052  REP_ORG=M. mulatta,gDNA.Hs.100691.0,MmugDNA.28782.1.S1_at,LOC286052,0.62370247
ANXA11,annexin A11,XM_001096044,MmugDNA.17945.1.S1_at,ANXA11,0.623108698
CNTNAP2,contactin associated protein-like 2,XM_001094531,MmugDNA.10311.1.S1_at,CNTNAP2,0.623061845
MmugDNA.9041.1.S1_at,gDNA.Hs.64001.0.S2  FEA=U133PSR  GEN=CHST11  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 226372_at Carbohydrate (chondroitin 4) sulfotransferase 11  REP_ORG=M. mulatta,gDNA.Hs.64001.0,MmugDNA.9041.1.S1_at,CHST11,0.62278344
LOC713415,similar to Protein FAM118A,XR_013722,MmugDNA.10564.1.S1_at,,0.622466126
FEM1C,fem-1 homolog c (C. elegans),XM_001084429,MmugDNA.14171.1.S1_s_at,FEM1C,0.622350812
MmugDNA.28782.1.S1_s_at,gDNA.Hs.100691.0.A1  FEA=U133PSR  GEN=LOC286052  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 241370_at hypothetical protein LOC286052  REP_ORG=M. mulatta,gDNA.Hs.100691.0,MmugDNA.28782.1.S1_s_at,LOC286052,0.621894605
LOC697760,hypothetical protein LOC697760,XM_001085869,MmugDNA.9252.1.S1_at,FLJ37659,0.621796448
LOC703165,"gi:51853681  DEF=CITED1_3083 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA3083, sequence tagged site.  GEN=CITED1  PROD=Cbp p300-interacting transactivator, with Glu Asp-rich carboxy-t, minal domain, 1  REP_ORG=M. mulatta",XP_521132,MmuSTS.3646.1.S1_at,CITED1,0.62166311
LOC695778,hypothetical protein LOC695778,XM_001084543,MmugDNA.7352.1.S1_at,,0.621608441
BBS2,Bardet-Biedl syndrome 2,XM_001091398,MmuSTS.116.1.S1_at,BBS2,0.620604476
LOC699399,"similar to zinc finger, CCHC domain containing 12",XR_011135,MmugDNA.6389.1.S1_at,ZCCHC12,0.62057915
MmugDNA.40962.1.S1_at,gDNA.Hs.159526.0.S2  FEA=U133PSR  GEN=PTCH  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 209815_at Patched homolog (Drosophila)  REP_ORG=M. mulatta,gDNA.Hs.159526.0,MmugDNA.40962.1.S1_at,PTCH,0.619870305
EXPH5,exophilin 5,XM_001097468,MmuSTS.1803.1.S1_at,SLAC2-B,0.619749671
LOC709102,similar to plasma membrane calcium ATPase 1 isoform 1b,XM_001101841,MmuSTS.3814.1.S1_at,ATP2B1,0.61939812
LOC715230,similar to WAP four-disulfide core domain 1 precursor,XR_014061,MmugDNA.36474.1.S1_at,WFDC1,0.619365618
LOC707139,"gDNA.g10047095  FEA=U133PSR  GEN=ARPP-21  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 220359_s_at cyclic AMP-regulated phosphoprotein, 21 kD  REP_ORG=M. mulatta",gDNA,MmugDNA.28470.1.S1_at,ARPP-21,0.619271518
PAK7,p21 protein (Cdc42/Rac)-activated kinase 7,XM_001113709,MmugDNA.26167.1.S1_at,PAK7,0.618674072
SEC14L1,SEC14-like 1 (S. cerevisiae),XM_001098962,MmugDNA.42587.1.S1_at,SEC14L1,0.618473009
FRMD4B,FERM domain containing 4B,XM_001086554,MmugDNA.19257.1.S1_at,ZBTB10,0.618424042
MmugDNA.17242.1.S1_at,gDNA.Hs.183114.0.S1  FEA=U133PSR  GEN=FLJ10312  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 227911_at Hypothetical protein FLJ10312  REP_ORG=M. mulatta,gDNA.Hs.183114.0,MmugDNA.17242.1.S1_at,FLJ10312,0.618327422
CALB1,calbindin 1,XM_001085269,MmuSTS.567.1.S1_at,CALB1,0.617936736
RPS6KA5,"ribosomal protein S6 kinase, 90kDa, polypeptide 5",XM_001088246,MmugDNA.5404.1.S1_at,RPS6KA5,0.617340017
MmugDNA.21133.1.S1_at,"gDNA.Hs.212631.0.A1  FEA=U133PSR  GEN=KCNN3  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 244040_at Potassium intermediate small conductance calcium-activated channel, subfamily N, member 3  REP_ORG=M. mulatta",gDNA.Hs.212631.0,MmugDNA.21133.1.S1_at,KCNN3,0.617177882
LOC714577,similar to CCAAT/enhancer binding protein delta,XR_013007,MmugDNA.29934.1.S1_at,CEBPD,0.616937589
SOX11,SRY (sex determining region Y)-box 11,XM_001098988,MmugDNA.22295.1.S1_at,SOX11,0.616759462
LOC697716,similar to slit homolog 1,XM_001085829,MmugDNA.20795.1.S1_at,LOC346355,0.615723592
WRNIP1,Werner helicase interacting protein 1,XM_001090565,MmugDNA.2438.1.S1_at,WRNIP1,0.615689149
TGFB2,"transforming growth factor, beta 2",XM_001103999,MmugDNA.5059.1.S1_at,TGFB2,0.615637406
LOC717025,similar to TPR repeat-containing protein KIAA1043,XM_001108189,MmugDNA.28807.1.S1_at,KIAA1043,0.615604423
LECT1,leukocyte cell derived chemotaxin 1,XM_001084639,MmunewRS.555.1.S1_at,LECT1,0.615362685
MPPED2,metallophosphoesterase domain containing 2,XM_001087549,MmugDNA.12857.1.S1_at,MPPED2,0.615196864
MmugDNA.8563.1.S1_at,"gDNA.Hs.105791.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 239847_at CDNA clone IMAGE:6186815, partial cds  REP_ORG=M. mulatta",gDNA.Hs.105791.0,MmugDNA.8563.1.S1_at,,0.61508507
MmugDNA.2291.1.S1_at,"gDNA.Hs.274702.0.A1  FEA=U133PSR  GEN=CACNA1E  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 236013_at calcium channel, voltage-dependent, alpha 1E subunit  REP_ORG=M. mulatta",gDNA.Hs.274702.0,MmugDNA.2291.1.S1_at,CACNA1E,0.614900694
LOC705699,"similar to glutamate receptor, ionotropic, kainate 1 isoform 2 precursor",XM_001100677,MmuSTS.4512.1.S1_at,GRIK1,0.614764002
FRZB,frizzled-related protein,XM_001102583,MmugDNA.39998.1.S1_at,FRZB,0.614693219
MmugDNA.28763.1.S1_at,"gDNA.Hs.12473.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 215149_at CDNA clone IMAGE:5260262, partial cds  REP_ORG=M. mulatta",gDNA.Hs.12473.0,MmugDNA.28763.1.S1_at,,0.614504563
RGS14,regulator of G-protein signaling 14,XM_001089080,MmuSTS.2347.1.S1_at,RGS14,0.614366899
INHBA,"inhibin, beta A",XM_001098421,MmuSTS.701.1.S1_at,INHBA,0.613619996
TMOD1,tropomodulin 1,XM_001114155,MmuSTS.1209.1.S1_at,TMOD1,0.613339135
MmugDNA.3202.1.S1_at,gDNA.Hs2.46519.1.S1  FEA=U133PSR  GEN=LOC283588  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 1557113_at hypothetical protein LOC283588  REP_ORG=M. mulatta,gDNA.Hs2.46519.1,MmugDNA.3202.1.S1_at,LOC283588,0.613316757
ANK3,ankyrin 3,XR_011772,MmugDNA.39955.1.S1_at,ANK3,0.613172679
SLC1A1,"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1",XM_001085339,MmuSTS.4383.1.S1_at,SLC1A1,0.612986202
MmugDNA.20670.1.S1_at,gDNA.Hs.93872.1.S1  FEA=U133PSR  GEN=PIP3AP  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 225232_at phosphatidylinositol-3-phosphate associated protein  REP_ORG=M. mulatta,CN644319,MmugDNA.20670.1.S1_at,PIP3AP,0.612728943
LOC712474,similar to cAMP-dependent protein kinase inhibitor gamma,XM_001110061,MmuSTS.2026.1.S1_at,PKIG,0.611739389
PPFIA2,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2",XM_001088683,MmugDNA.3100.1.S1_at,PPFIA2,0.610699476
CHRD,chordin,XM_001097729,MmuSTS.694.1.S1_at,CHRD,0.610423445
MmugDNA.42793.1.S1_at,"gDNA.g13276654  FEA=U133PSR  GEN=CAMKK1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 223460_at calcium calmodulin-dependent protein kinase kinase 1, alpha  REP_ORG=M. mulatta",gDNA,MmugDNA.42793.1.S1_at,CAMKK1,0.609983499
PRKCI,"protein kinase C, iota",XM_001089400,MmugDNA.23670.1.S1_at,PRKCI,0.609978567
LOC718148,similar to Dipeptidyl aminopeptidase-like protein 6 (Dipeptidylpeptidase VI) (Dipeptidylpeptidase 6) (Dipeptidyl peptidase IV-like protein) (Dipeptidyl aminopeptidase-related protein) (DPPX),XM_001110451,MmugDNA.22026.1.S1_at,DPP6,0.609570963
LOC699927,similar to regulator of G-protein signalling 12 isoform 1,XR_010269,MmugDNA.2918.1.S1_at,RGS12,0.609148529
MmugDNA.25987.1.S1_at,"gDNA.Hs.91389.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 226550_at Homo sapiens, Similar to LOC169932, clone IMAGE:4499203, mRNA  REP_ORG=M. mulatta",gDNA.Hs.91389.0,MmugDNA.25987.1.S1_at,,0.608015924
LOC717226,similar to Protein C20orf116 homolog precursor,XM_001115149,MmugDNA.26204.1.S1_at,C20orf116,0.607477166
ZNF148,zinc finger protein 148,XM_001114032,MmugDNA.27294.1.S1_at,ZNF148,0.607259708
MmugDNA.7158.1.S1_at,gDNA.Hs.113170.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 231310_at Transcribed locus  REP_ORG=M. mulatta,gDNA.Hs.113170.0,MmugDNA.7158.1.S1_at,,0.606674418
LOC716157,similar to syntaxin 6,XM_001114975,MmugDNA.34575.1.S1_at,STX6,0.606529499
HOOK1,hook homolog 1,XM_001082586,MmugDNA.35182.1.S1_at,HOOK1,0.606488884
LOC716452,similar to Transcription factor AP-1 (Activator protein 1) (AP1) (Proto-oncogene c-jun) (V-jun avian sarcoma virus 17 oncogene homolog) (Jun A) (AH119),XM_001114681,MmuSTS.743.1.S1_at,JUN,0.606271335
PDE2A,"gi:60301370  DEF=PDE2A_222 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA222, sequence tagged site  REP_ORG=M. mulatta",XP_001090212,MmuSTS.3363.1.S1_at,PDE2A,0.605310493
LOC705065,similar to Ras association and pleckstrin homology domains 1 isoform 1,XR_012914,MmugDNA.1687.1.S1_at,MGC42090,0.604765934
LOC722173,similar to liver phosphofructokinase isoform b,XR_014715,MmugDNA.11151.1.S1_s_at,PFKL,0.604364233
NTRK3,"neurotrophic tyrosine kinase, receptor, type 3",XM_001087725,MmugDNA.33101.1.S1_s_at,NTRK3,0.60431538
INHBA,"inhibin, beta A",XM_001098421,MmugDNA.21962.1.S1_at,INHBA,0.604309765
LOC701522,similar to Transmembrane emp24 domain-containing protein 10 precursor (Transmembrane protein Tmp21) (21 kDa transmembrane trafficking protein) (p24delta) (S31III125) (S31I125) (Tmp-21-I),XM_001089815,MmugDNA.40533.1.S1_at,TMP21,0.604143481
LOC708882,similar to RWD domain containing 4A,XM_001097379,MmugDNA.8677.1.S1_at,MGC10198,0.603988504
MmugDNA.19812.1.S1_at,gDNA.Hs.150167.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 231465_at  REP_ORG=M. mulatta,gDNA.Hs.150167.0,MmugDNA.19812.1.S1_at,,0.602912705
